"Measurement outcome","Frequency"
"0x2eeb62","1"
"0x2f045a","1"
"0x2f081a","1"
"0x2f0832","1"
"0x2f0dd4","1"
"0x2f27f0","1"
"0x2f29e0","1"
"0x2f2f10","1"
"0x2f2f7a","1"
"0x2f2fb2","1"
"0x2f421c","1"
"0x2f444c","1"
"0x2f48ce","1"
"0x2f48d2","1"
"0x2f4970","1"
"0x2f63d0","1"
"0x2f6834","1"
"0x2f6932","1"
"0x2f821a","1"
"0x2fa126","1"
"0x2fa518","1"
"0x2fc100","1"
"0x2fcacc","1"
"0x2fcaea","1"
"0x2fcc8e","1"
"0x2fe702","1"
"0x2fe7de","1"
"0x2feee0","1"
"0x300716","1"
"0x3007d0","1"
"0x300dce","1"
"0x300f40","1"
"0x302304","1"
"0x302450","1"
"0x3042e0","1"
"0x304462","1"
"0x306048","1"
"0x3067f4","1"
"0x306ada","1"
"0x306cac","1"
"0x30822e","1"
"0x30868c","1"
"0x30885a","1"
"0x3088f8","1"
"0x30893e","1"
"0x308b28","1"
"0x30aaea","1"
"0x30ab26","1"
"0x30c004","1"
"0x30c160","1"
"0x30c362","1"
"0x30e7aa","1"
"0x30e830","1"
"0x30eae0","1"
"0x31025a","1"
"0x310614","1"
"0x310b42","1"
"0x310ed6","1"
"0x312122","1"
"0x31267e","1"
"0x31429a","1"
"0x314688","1"
"0x31496a","1"
"0x316418","1"
"0x316470","1"
"0x3182b4","1"
"0x318c4e","1"
"0x318f92","1"
"0x31aec2","1"
"0x31aece","1"
"0x31c2b2","1"
"0x31c6d6","1"
"0x31c95c","1"
"0x31cf72","1"
"0x31cfdd","1"
"0x31e252","1"
"0x31ead2","1"
"0x31eef2","1"
"0x320284","1"
"0x3203b2","1"
"0x3204be","1"
"0x322008","1"
"0x3227b0","1"
"0x322950","1"
"0x322968","1"
"0x322b5e","1"
"0x322b6","1"
"0x322c9a","1"
"0x322d36","1"
"0x322e40","1"
"0x324138","1"
"0x3246be","1"
"0x324768","1"
"0x324f76","1"
"0x325f4","1"
"0x32600a","1"
"0x3266f8","1"
"0x326d4","1"
"0x326de2","1"
"0x3285a2","1"
"0x3286a0","1"
"0x3286f2","1"
"0x32a01c","1"
"0x32a31a","1"
"0x32b16","1"
"0x32baa4","1"
"0x32c0d8","1"
"0x32c134","1"
"0x32c2ba","1"
"0x32f48","1"
"0x330330","1"
"0x330536","1"
"0x330604","1"
"0x33066a","1"
"0x330952","1"
"0x332622","1"
"0x332658","1"
"0x3326cc","1"
"0x3328f6","1"
"0x332932","1"
"0x334418","1"
"0x334a68","1"
"0x3367e2","1"
"0x336820","1"
"0x336966","1"
"0x336b92","1"
"0x338371","1"
"0x338442","1"
"0x33853e","1"
"0x338a6a","1"
"0x338ce2","1"
"0x33a32a","1"
"0x33a3d2","1"
"0x33a410","1"
"0x33a482","1"
"0x33a630","1"
"0x33acda","1"
"0x33c126","1"
"0x33c750","1"
"0x33c810","1"
"0x33c826","1"
"0x33e9b2","1"
"0x33ef36","1"
"0x3403de","1"
"0x340410","1"
"0x340620","1"
"0x340ba2","1"
"0x340f3a","1"
"0x340fae","1"
"0x34234a","1"
"0x3425c6","1"
"0x342ec2","1"
"0x3447d0","1"
"0x344b80","1"
"0x346058","1"
"0x346410","1"
"0x34668","1"
"0x346838","1"
"0x346978","1"
"0x34740","1"
"0x3475c","1"
"0x348530","1"
"0x348f52","1"
"0x34a142","1"
"0x34ab52","1"
"0x34ac68","1"
"0x34acfa","1"
"0x34b32","1"
"0x34c312","1"
"0x34c72","1"
"0x34c762","1"
"0x34c7bc","1"
"0x34ca8b","1"
"0x34cebc","1"
"0x34eb74","1"
"0x350226","1"
"0x350400","1"
"0x350b34","1"
"0x350e22","1"
"0x352478","1"
"0x35262a","1"
"0x35266c","1"
"0x352f8a","1"
"0x352fe0","1"
"0x354554","1"
"0x3546c0","1"
"0x354716","1"
"0x35497c","1"
"0x35685a","1"
"0x3584ea","1"
"0x35853e","1"
"0x3585c6","1"
"0x358912","1"
"0x358f18","1"
"0x35c136","1"
"0x35c392","1"
"0x35c880","1"
"0x35c9a2","1"
"0x35cd40","1"
"0x35ec26","1"
"0x35ed02","1"
"0x360002","1"
"0x36006","1"
"0x3600a0","1"
"0x360466","1"
"0x36076e","1"
"0x360a4e","1"
"0x360ebc","1"
"0x36174","1"
"0x362402","1"
"0x362b06","1"
"0x362da","1"
"0x364328","1"
"0x364bb8","1"
"0x366180","1"
"0x3664c8","1"
"0x366773","1"
"0x366d92","1"
"0x36868e","1"
"0x368778","1"
"0x368960","1"
"0x368acc","1"
"0x368d7e","1"
"0x36a744","1"
"0x36a8c4","1"
"0x36acca","1"
"0x36cba2","1"
"0x36e412","1"
"0x36e58a","1"
"0x36e6da","1"
"0x370288","1"
"0x372070","1"
"0x372138","1"
"0x372c32","1"
"0x372c9a","1"
"0x372d86","1"
"0x372f42","1"
"0x372f58","1"
"0x37447e","1"
"0x37464a","1"
"0x374738","1"
"0x376680","1"
"0x37820a","1"
"0x378ada","1"
"0x378f06","1"
"0x37a322","1"
"0x37a710","1"
"0x37adf6","1"
"0x37c132","1"
"0x37c6f0","1"
"0x37cc12","1"
"0x37ccd8","1"
"0x3800da","1"
"0x380572","1"
"0x3807d4","1"
"0x380e42","1"
"0x382492","1"
"0x38284a","1"
"0x382a04","1"
"0x382abc","1"
"0x382b44","1"
"0x382e20","1"
"0x386992","1"
"0x386bba","1"
"0x38726","1"
"0x3880dc","1"
"0x38830","1"
"0x388358","1"
"0x388908","1"
"0x38a952","1"
"0x38ac2","1"
"0x38c0ce","1"
"0x38c6d8","1"
"0x38d42","1"
"0x38e000","1"
"0x38e38","1"
"0x38eea0","1"
"0x390804","1"
"0x39083a","1"
"0x390d82","1"
"0x390dc0","1"
"0x39205e","1"
"0x392796","1"
"0x3927e8","1"
"0x392934","1"
"0x392b28","1"
"0x394084","1"
"0x394da4","1"
"0x39647e","1"
"0x3965c4","1"
"0x3966b8","1"
"0x3968d6","1"
"0x3969d8","1"
"0x396db6","1"
"0x396f7e","1"
"0x398382","1"
"0x398b0a","1"
"0x39ac48","1"
"0x39c160","1"
"0x39c18a","1"
"0x39c77e","1"
"0x39e1e0","1"
"0x39e272","1"
"0x39ec30","1"
"0x39ef10","1"
"0x3a00aa","1"
"0x3a07ea","1"
"0x3a20b0","1"
"0x3a273a","1"
"0x3a2896","1"
"0x3a2a0a","1"
"0x3a2b06","1"
"0x3a44a4","1"
"0x3a51a","1"
"0x3a6802","1"
"0x3a6a50","1"
"0x3a6e28","1"
"0x3a7fa","1"
"0x3a81ce","1"
"0x3a8236","1"
"0x3a8262","1"
"0x3a83ea","1"
"0x3a88d2","1"
"0x3aa330","1"
"0x3aa332","1"
"0x3aa568","1"
"0x3aab8e","1"
"0x3aaf78","1"
"0x3ab9e","1"
"0x3ac070","1"
"0x3ac1a8","1"
"0x3ac2e4","1"
"0x3ac8f4","1"
"0x3aee4c","1"
"0x3b05a2","1"
"0x3b0850","1"
"0x3b0a68","1"
"0x3b0cf2","1"
"0x3b0f04","1"
"0x3b2612","1"
"0x3b2a9e","1"
"0x3b2d2a","1"
"0x3b2f6e","1"
"0x3b41ae","1"
"0x3b4762","1"
