"Measurement outcome","Frequency"
"0x17f558","1"
"0x17f674","1"
"0x17f6d2","1"
"0x17f752","1"
"0x17f792","1"
"0x17f7e0","1"
"0x18007a","1"
"0x18008a","1"
"0x1801dc","1"
"0x180284","1"
"0x18053a","1"
"0x1810ac","1"
"0x1810b0","1"
"0x181154","1"
"0x1811a0","1"
"0x181322","1"
"0x181438","1"
"0x1815b8","1"
"0x1817fc","1"
"0x181b2","1"
"0x18215a","1"
"0x182170","1"
"0x1821d0","1"
"0x1823e","1"
"0x1824c4","1"
"0x1824e2","1"
"0x182544","1"
"0x1825b0","1"
"0x1826e6","1"
"0x1826ec","1"
"0x182792","1"
"0x1827f4","1"
"0x183098","1"
"0x1830be","1"
"0x1830d2","1"
"0x183394","1"
"0x1833ac","1"
"0x1833fc","1"
"0x183504","1"
"0x1835c3","1"
"0x18364a","1"
"0x1837a4","1"
"0x183c8","1"
"0x184036","1"
"0x1840d2","1"
"0x1840d6","1"
"0x18410c","1"
"0x1842aa","1"
"0x184456","1"
"0x184510","1"
"0x184590","1"
"0x1845c8","1"
"0x18465e","1"
"0x1846e8","1"
"0x1851c0","1"
"0x185230","1"
"0x18538","1"
"0x18543a","1"
"0x1854b6","2"
"0x1857b6","1"
"0x18611e","1"
"0x18612","1"
"0x186190","1"
"0x1861de","1"
"0x186320","1"
"0x18632c","1"
"0x186332","1"
"0x1864b2","1"
"0x18650","1"
"0x1866fe","1"
"0x1867ba","1"
"0x1867c","1"
"0x1867f4","1"
"0x186fe","1"
"0x187034","1"
"0x18716c","1"
"0x18734","1"
"0x187354","1"
"0x1873e","1"
"0x187626","1"
"0x187658","1"
"0x1877ba","1"
"0x188150","1"
"0x188196","1"
"0x1881c2","1"
"0x1890ae","1"
"0x18921e","1"
"0x1892f0","1"
"0x1893b4","1"
"0x189558","1"
"0x1895be","1"
"0x18975e","1"
"0x18a030","1"
"0x18a218","1"
"0x18a5f0","1"
"0x18a5f8","1"
"0x18b0b6","1"
"0x18b158","1"
"0x18b212","1"
"0x18b23e","1"
"0x18b380","1"
"0x18b52e","1"
"0x18c134","1"
"0x18c3b4","1"
"0x18c450","1"
"0x18c5de","1"
"0x18d0b8","1"
"0x18d25e","1"
"0x18d3d2","1"
"0x18d3fc","1"
"0x18d598","1"
"0x18d6fe","1"
"0x18d7de","1"
"0x18e04a","1"
"0x18e106","1"
"0x18e394","1"
"0x18e5d0","1"
"0x18e6a2","1"
"0x18e7b4","1"
"0x18f154","1"
"0x18f1b4","1"
"0x18f2b4","1"
"0x18f550","1"
"0x18f584","1"
"0x18f5bc","1"
"0x1900f0","1"
"0x190110","1"
"0x1901f0","1"
"0x190230","1"
"0x190416","1"
"0x190772","1"
"0x1907c8","1"
"0x19115c","1"
"0x191274","1"
"0x1912dc","1"
"0x191308","1"
"0x191652","1"
"0x191770","1"
"0x1917e","1"
"0x192","1"
"0x19219c","1"
"0x1921d8","1"
"0x192202","1"
"0x192246","1"
"0x192354","1"
"0x192406","1"
"0x192456","1"
"0x1924d2","1"
"0x19259c","1"
"0x1925d0","1"
"0x1925f2","1"
"0x1926da","1"
"0x192736","1"
"0x192e2","1"
"0x193010","1"
"0x193066","1"
"0x193382","1"
"0x193476","1"
"0x19359a","1"
"0x1936b8","1"
"0x1937de","1"
"0x1941ba","1"
"0x1941c","1"
"0x1941f0","1"
"0x194312","1"
"0x1943e","1"
"0x194496","1"
"0x1945bc","1"
"0x19464a","1"
"0x1947e","1"
"0x19522e","1"
"0x195296","1"
"0x195308","1"
"0x195322","1"
"0x195356","1"
"0x19539e","1"
"0x1954b2","1"
"0x1956d6","1"
"0x196008","1"
"0x196156","1"
"0x1961a","1"
"0x196330","1"
"0x196356","1"
"0x196374","1"
"0x19637e","1"
"0x1964ac","1"
"0x196528","1"
"0x196672","1"
"0x196758","1"
"0x196907","1"
"0x1970f2","1"
"0x19714","1"
"0x1971d0","1"
"0x197392","1"
"0x197394","1"
"0x197454","1"
"0x197456","1"
"0x197518","1"
"0x19752a","1"
"0x197554","1"
"0x1975a4","1"
"0x19775c","1"
"0x1977d8","1"
"0x1982f4","1"
"0x198312","1"
"0x19840a","1"
"0x198438","1"
"0x1984e0","1"
"0x1985fe","1"
"0x198632","1"
"0x19875c","1"
"0x1990c0","1"
"0x19917a","1"
"0x199416","1"
"0x199494","1"
"0x1994b0","1"
"0x19955e","1"
"0x19a128","1"
"0x19a146","1"
"0x19a25c","1"
"0x19a3ac","1"
"0x19a3ec","1"
"0x19a454","1"
"0x19a462","1"
